V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,HRP Employment status_codelist,HRP Employment status,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
0.488769278,0.066175582,12945,Quarter,2017 Q1,K04000001,,,Economically inactive,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
1.534388914,0.326558974,1527,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.881035166,0.321465669,945,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.814737753,0.47635466299999996,346,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.266026027,0.055672583,9789,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.451526485,0.3313756,338,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.45141552100000004,0.053674470999999994,21833,Quarter,2017 Q1,K04000001,,,Employed,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
1.954900991,0.705859948,492,Quarter,2017 Q1,K04000001,,,Unemployed,,Prevalence rate,,Domestic burglary with entry and no loss,, ,, 
0.960689749,0.08909441300000001,12945,Quarter,2017 Q1,K04000001,,,Economically inactive,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
1.807941033,0.365033293,1527,Quarter,2017 Q1,K04000001,,,Economically inactive: long-term/temp sick/ill,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
2.1279631869999998,0.488656965,945,Quarter,2017 Q1,K04000001,,,Economically inactive: looking after family/home,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.845124577,0.49146130299999996,346,Quarter,2017 Q1,K04000001,,,Economically inactive: other,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.7232780990000001,0.08940569400000001,9789,Quarter,2017 Q1,K04000001,,,Economically inactive: retired,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.652914286,0.393839028,338,Quarter,2017 Q1,K04000001,,,Economically inactive: student,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
0.8874299609999999,0.06557350099999999,21833,Quarter,2017 Q1,K04000001,,,Employed,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
1.033806611,0.46301829,492,Quarter,2017 Q1,K04000001,,,Unemployed,,Prevalence rate,,Domestic burglary with entry and loss,, ,, 
