V4_0,Time_codelist,Time,Geography_codelist,Geography,EVERYTHING_codelist,EVERYTHING
18.222942703484232,Deccenial,2011,J01000001,,,Population aged 0-15
64.67463333954018,Deccenial,2011,J01000001,,,Population aged 16-64
17.102423956975585,Deccenial,2011,J01000001,,,Population aged 65+
1.9573479961006386,Deccenial,2011,J01000001,,,Population aged 85+
8.932850660276348,Deccenial,2011,J01000001,,,"Population ""limited a lot"" by a health problem or disability, aged 16-64"
9.082411325821308,Deccenial,2011,J01000001,,,"Population ""limited a little"" by a health problem or disability, aged 16-64"
81.98473801390234,Deccenial,2011,J01000001,,,"Population ""not limited"" by a health problem or disability, aged 16-64"
63.26909279829791,Deccenial,2011,J01000001,,,Households owned
13.460824818782315,Deccenial,2011,J01000001,,,Households privately renting
21.16226713836867,Deccenial,2011,J01000001,,,Households socially renting
2.1078152445510994,Deccenial,2011,J01000001,,,Other households
5.963072378138848,Deccenial,2011,J01000001,,,"Proportion of Full Time Students, aged 16-74"
32.08277524778998,Deccenial,2011,J01000001,,,"Proportion of resident population with no qualifications, aged 16+"
17.215376372890436,Deccenial,2011,J01000001,,,"Proportion of resident population with Level four and above qualifications, aged 16+"
12.401258608929082,Deccenial,2011,J01000001,,,"Proportion of workday population in Manufacturing (C) Industry, aged 16-74"
17.523708935683324,Deccenial,2011,J01000001,,,"Proportion of workday population in Wholesale and Retail Trade (G) Industry, aged 16-74"
7.866305806763922,Deccenial,2011,J01000001,,,"Proportion of workday population in Professional, Finance and Information (J,K,M) Industry, aged 16-74"
28.8797940458116,Deccenial,2011,J01000001,,,"Proportion of workday population in Public Admin, Health and Education (O,P,Q) Industry, aged 16-74"
3434.0,Deccenial,2011,J01000001,,,"Net in commuting, aged 16-74"
8.32646331409728,Deccenial,2011,J01000001,,,"Net in commuting/residents in employment, aged 16-74"
21.276476573658318,Deccenial,2011,J01000002,,,Population aged 0-15
64.52675895932713,Deccenial,2011,J01000002,,,Population aged 16-64
14.196764467014553,Deccenial,2011,J01000002,,,Population aged 65+
1.8166033438197213,Deccenial,2011,J01000002,,,Population aged 85+
6.624349665956553,Deccenial,2011,J01000002,,,"Population ""limited a lot"" by a health problem or disability, aged 16-64"
8.067765169630306,Deccenial,2011,J01000002,,,"Population ""limited a little"" by a health problem or disability, aged 16-64"
85.30788516441315,Deccenial,2011,J01000002,,,"Population ""not limited"" by a health problem or disability, aged 16-64"
55.221409232283904,Deccenial,2011,J01000002,,,Households owned
11.26401288850104,Deccenial,2011,J01000002,,,Households privately renting
31.16511154371126,Deccenial,2011,J01000002,,,Households socially renting
2.349466335503793,Deccenial,2011,J01000002,,,Other households
5.9967753679721225,Deccenial,2011,J01000002,,,"Proportion of Full Time Students, aged 16-74"
30.02810354436684,Deccenial,2011,J01000002,,,"Proportion of resident population with no qualifications, aged 16+"
